#FOR THE FULL HISTORICAL DATA VISIT : https://ork.ad
time,open,high,low,close,volume
2025-10-03T16:30:00Z,5.1094,5.1138,5.0972,5.1073,1187.0
2025-10-03T17:00:00Z,5.1073,5.1183,5.1011,5.1131,942.0
2025-10-03T17:30:00Z,5.1131,5.1193,5.0813,5.0868,1134.0
2025-10-03T18:00:00Z,5.0868,5.0968,5.0741,5.0954,740.0
2025-10-03T18:30:00Z,5.0954,5.0983,5.0829,5.0848,400.0
2025-10-03T19:00:00Z,5.0848,5.0867,5.0798,5.0819,354.0
2025-10-03T19:30:00Z,5.0819,5.0833,5.075,5.0823,372.0
2025-10-03T20:00:00Z,5.0823,5.0906,5.0803,5.0863,250.0
2025-10-03T20:30:00Z,5.0863,5.0878,5.0788,5.081,95.0
2025-10-05T22:00:00Z,5.081,5.1003,5.0806,5.0882,514.0
2025-10-05T22:30:00Z,5.0882,5.096,5.0843,5.0953,295.0
2025-10-05T23:00:00Z,5.0953,5.1043,5.0947,5.0993,409.0
2025-10-05T23:30:00Z,5.0993,5.1008,5.072,5.0813,413.0
2025-10-06T00:00:00Z,5.0813,5.097,5.0753,5.0947,751.0
2025-10-06T00:30:00Z,5.0947,5.1074,5.0923,5.1,522.0
2025-10-06T01:00:00Z,5.1,5.103,5.0891,5.0946,637.0
2025-10-06T01:30:00Z,5.0946,5.1226,5.0943,5.1197,1273.0
2025-10-06T02:00:00Z,5.1197,5.121,5.1118,5.1153,576.0
2025-10-06T02:30:00Z,5.1153,5.116,5.0943,5.0943,523.0
2025-10-06T03:00:00Z,5.0943,5.0984,5.0872,5.0903,456.0
2025-10-06T03:30:00Z,5.0903,5.1081,5.0902,5.106,618.0
2025-10-06T04:00:00Z,5.106,5.1067,5.0982,5.0992,419.0
2025-10-06T04:30:00Z,5.0992,5.0992,5.0928,5.0954,420.0
2025-10-06T05:00:00Z,5.0954,5.0966,5.0756,5.094,637.0
2025-10-06T05:30:00Z,5.094,5.0973,5.0674,5.0782,598.0
2025-10-06T06:00:00Z,5.0782,5.082,5.0646,5.0696,722.0
2025-10-06T06:30:00Z,5.0696,5.0706,5.0511,5.0622,1037.0
2025-10-06T07:00:00Z,5.0622,5.0693,5.0558,5.0613,1128.0
2025-10-06T07:30:00Z,5.0613,5.064,5.0442,5.0481,1514.0
2025-10-06T08:00:00Z,5.0481,5.0647,5.0446,5.0543,1070.0
2025-10-06T08:30:00Z,5.0543,5.0669,5.0538,5.0643,735.0
2025-10-06T09:00:00Z,5.0643,5.068,5.0558,5.0622,617.0
2025-10-06T09:30:00Z,5.0622,5.068,5.0541,5.067,441.0
2025-10-06T10:00:00Z,5.067,5.0669,5.0463,5.048,645.0
2025-10-06T10:30:00Z,5.048,5.0513,5.0386,5.045,679.0
2025-10-06T11:00:00Z,5.045,5.0572,5.0448,5.0563,857.0
2025-10-06T11:30:00Z,5.0563,5.0637,5.0412,5.0571,997.0
2025-10-06T12:00:00Z,5.0571,5.0649,5.0396,5.0619,1429.0
2025-10-06T12:30:00Z,5.0619,5.0619,5.013,5.0368,1609.0
2025-10-06T13:00:00Z,5.0368,5.0458,5.0243,5.0323,1023.0
2025-10-06T13:30:00Z,5.0323,5.0601,5.0274,5.06,1325.0
2025-10-06T14:00:00Z,5.06,5.0603,5.0468,5.0469,775.0
2025-10-06T14:30:00Z,5.0469,5.0561,5.0312,5.0552,1013.0
2025-10-06T15:00:00Z,5.0552,5.0554,5.0401,5.0422,854.0
2025-10-06T15:30:00Z,5.0422,5.0491,5.0346,5.0467,866.0
2025-10-06T16:00:00Z,5.0467,5.0508,5.0389,5.0432,645.0
2025-10-06T16:30:00Z,5.0432,5.0443,5.0326,5.0332,739.0
2025-10-06T17:00:00Z,5.0332,5.0366,5.026,5.0297,639.0
2025-10-06T17:30:00Z,5.0297,5.037,5.0296,5.0317,318.0
2025-10-06T18:00:00Z,5.0317,5.0324,5.0291,5.0292,193.0
2025-10-06T18:30:00Z,5.0292,5.0356,5.0289,5.0339,226.0
2025-10-06T19:00:00Z,5.0339,5.0482,5.0339,5.043,203.0
2025-10-06T19:30:00Z,5.043,5.0513,5.043,5.0448,237.0
2025-10-06T20:00:00Z,5.0448,5.048,5.0422,5.047,189.0
2025-10-06T20:30:00Z,5.047,5.047,5.0373,5.039,160.0
2025-10-06T22:00:00Z,5.039,5.0513,5.039,5.0502,395.0
2025-10-06T22:30:00Z,5.0502,5.0529,5.0453,5.0481,391.0
2025-10-06T23:00:00Z,5.0481,5.0532,5.0468,5.0503,363.0
2025-10-06T23:30:00Z,5.0503,5.0539,5.0486,5.0489,354.0
2025-10-07T00:00:00Z,5.0489,5.0646,5.0478,5.0578,704.0
2025-10-07T00:30:00Z,5.0578,5.0588,5.0362,5.043,721.0
2025-10-07T01:00:00Z,5.043,5.0513,5.0352,5.0407,789.0
2025-10-07T01:30:00Z,5.0407,5.0463,5.0356,5.0412,493.0
2025-10-07T02:00:00Z,5.0412,5.0478,5.0393,5.0473,466.0
2025-10-07T02:30:00Z,5.0473,5.0678,5.047,5.0658,585.0
2025-10-07T03:00:00Z,5.0658,5.089,5.0643,5.0781,777.0
2025-10-07T03:30:00Z,5.0781,5.0826,5.0748,5.0793,539.0
2025-10-07T04:00:00Z,5.0793,5.0853,5.0768,5.0818,516.0
2025-10-07T04:30:00Z,5.0818,5.0858,5.0774,5.083,455.0
2025-10-07T05:00:00Z,5.083,5.0831,5.0738,5.0823,692.0
2025-10-07T05:30:00Z,5.0823,5.093,5.07,5.0802,778.0
2025-10-07T06:00:00Z,5.0802,5.0833,5.0622,5.066,905.0
2025-10-07T06:30:00Z,5.066,5.0888,5.0653,5.0858,891.0
2025-10-07T07:00:00Z,5.0858,5.09,5.0308,5.0506,2016.0
2025-10-07T07:30:00Z,5.0506,5.0661,5.0478,5.0572,1416.0
2025-10-07T08:00:00Z,5.0572,5.0664,5.0389,5.05,1232.0
2025-10-07T08:30:00Z,5.05,5.0608,5.05,5.056,712.0
2025-10-07T09:00:00Z,5.056,5.062,5.0498,5.0573,838.0
2025-10-07T09:30:00Z,5.0573,5.0602,5.0546,5.0573,542.0
2025-10-07T10:00:00Z,5.0573,5.0673,5.0549,5.0661,555.0
2025-10-07T10:30:00Z,5.0661,5.0671,5.0547,5.0598,657.0
2025-10-07T11:00:00Z,5.0598,5.0702,5.0598,5.067,708.0
2025-10-07T11:30:00Z,5.067,5.0767,5.0654,5.0733,917.0
2025-10-07T12:00:00Z,5.0733,5.1054,5.0733,5.0981,1433.0
